maintenance_id,contractor_name,service_date,service_type,downtime_hours,returned_to_service
110,MetroLink Operations,2026-07-07,Mechanical Failure,24.5,2026-07-08 00:30:00
111,MetroLink Operations,2026-08-30,Preventive Maintenance,16.4,2026-08-30 16:24:00
112,MetroLink Operations,2026-05-09,Preventive Maintenance,5.0,2026-05-09 05:00:00
113,CityRide Partners,2026-06-03,Tire Service,16.6,2026-06-03 16:36:00
114,CityRide Partners,2026-10-08,Inspection,28.1,2026-10-09 04:06:00
115,CityRide Partners,2026-09-26,Inspection,34.0,2026-09-27 10:00:00
116,CityRide Partners,2026-08-31,Preventive Maintenance,20.4,2026-08-31 20:24:00
117,CityRide Partners,2026-10-19,Inspection,10.6,2026-10-19 10:36:00
118,CityRide Partners,2026-08-16,Mechanical Failure,25.0,2026-08-17 01:00:00
119,CityRide Partners,2026-06-10,Preventive Maintenance,20.5,2026-06-10 20:30:00
120,CityRide Partners,2026-10-15,Mechanical Failure,32.3,2026-10-16 08:18:00
121,CityRide Partners,2026-08-17,Tire Service,25.3,2026-08-18 01:18:00
122,CityRide Partners,2026-05-15,Preventive Maintenance,0.5,2026-05-15 00:30:00
123,CityRide Partners,2026-06-21,Preventive Maintenance,22.2,2026-06-21 22:12:00
124,CityRide Partners,2026-09-23,Mechanical Failure,63.0,2026-09-25 15:00:00
125,CityRide Partners,2026-04-25,Preventive Maintenance,17.0,2026-04-25 17:00:00
126,CityRide Partners,2026-07-04,Inspection,0.5,2026-07-04 00:30:00
127,CityRide Partners,2026-07-10,Mechanical Failure,25.5,2026-07-11 01:30:00
128,CityRide Partners,2026-09-01,Preventive Maintenance,0.5,2026-09-01 00:30:00
129,CityRide Partners,2026-04-29,Mechanical Failure,13.9,2026-04-29 13:54:00
130,CityRide Partners,2026-03-30,Inspection,12.5,2026-03-30 12:30:00
131,CityRide Partners,2026-06-26,Preventive Maintenance,17.4,2026-06-26 17:24:00
132,CityRide Partners,2026-05-10,Brake Service,4.8,2026-05-10 04:48:00
133,CityRide Partners,2026-07-09,Inspection,0.5,2026-07-09 00:30:00
134,CityRide Partners,2026-06-17,Preventive Maintenance,11.7,2026-06-17 11:42:00
135,CityRide Partners,2026-09-03,Mechanical Failure,23.8,2026-09-03 23:48:00
136,CityRide Partners,2026-09-23,Tire Service,28.2,2026-09-24 04:12:00
137,CityRide Partners,2026-04-01,Preventive Maintenance,0.5,2026-04-01 00:30:00
138,CityRide Partners,2026-08-13,Mechanical Failure,56.8,2026-08-15 08:48:00
139,CityRide Partners,2026-07-11,Preventive Maintenance,10.8,2026-07-11 10:48:00
140,CityRide Partners,2026-07-26,Brake Service,19.4,2026-07-26 19:24:00
141,CityRide Partners,2026-05-13,Mechanical Failure,17.6,2026-05-13 17:36:00
142,Regional Access Transit,2026-03-20,Mechanical Failure,6.0,2026-03-20 06:00:00
143,Regional Access Transit,2026-05-17,Tire Service,19.6,2026-05-17 19:36:00
144,Regional Access Transit,2026-08-19,Mechanical Failure,5.5,2026-08-19 05:30:00
145,Regional Access Transit,2026-04-24,Mechanical Failure,12.1,2026-04-24 12:06:00
146,Regional Access Transit,2026-05-08,Preventive Maintenance,32.0,2026-05-09 08:00:00
147,Regional Access Transit,2026-04-30,Preventive Maintenance,1.6,2026-04-30 01:36:00
148,Regional Access Transit,2026-08-02,Tire Service,0.5,2026-08-02 00:30:00
149,Regional Access Transit,2026-07-16,Brake Service,4.3,2026-07-16 04:18:00
150,Regional Access Transit,2026-04-14,Preventive Maintenance,11.3,2026-04-14 11:18:00
151,Regional Access Transit,2026-06-30,Preventive Maintenance,0.5,2026-06-30 00:30:00
152,Regional Access Transit,2026-06-13,Inspection,0.5,2026-06-13 00:30:00
153,Regional Access Transit,2026-06-23,Inspection,30.9,2026-06-24 06:54:00
154,Regional Access Transit,2026-07-01,Tire Service,0.5,2026-07-01 00:30:00
155,Regional Access Transit,2026-08-01,Preventive Maintenance,0.5,2026-08-01 00:30:00
156,Regional Access Transit,2026-06-14,Preventive Maintenance,8.2,2026-06-14 08:12:00
157,Regional Access Transit,2026-06-19,Preventive Maintenance,3.9,2026-06-19 03:54:00
158,Regional Access Transit,2026-07-24,Mechanical Failure,86.0,2026-07-27 14:00:00
159,Regional Access Transit,2026-04-14,Mechanical Failure,48.3,2026-04-16 00:18:00
160,Regional Access Transit,2026-06-21,Inspection,15.2,2026-06-21 15:12:00
161,Regional Access Transit,2026-09-09,Preventive Maintenance,22.1,2026-09-09 22:06:00
162,Regional Access Transit,2026-04-14,Preventive Maintenance,0.5,2026-04-14 00:30:00
163,Regional Access Transit,2026-08-11,Brake Service,23.5,2026-08-11 23:30:00
164,Regional Access Transit,2026-05-14,Mechanical Failure,113.0,2026-05-18 17:00:00
165,Regional Access Transit,2026-05-06,Brake Service,0.5,2026-05-06 00:30:00
166,Regional Access Transit,2026-03-17,Mechanical Failure,6.4,2026-03-17 06:24:00
167,Independence Transportation,2026-09-02,Inspection,0.5,2026-09-02 00:30:00
168,Independence Transportation,2026-06-02,Preventive Maintenance,0.5,2026-06-02 00:30:00
170,Independence Transportation,2026-05-20,Inspection,8.2,2026-05-20 08:12:00
172,Independence Transportation,2026-07-19,Brake Service,5.9,2026-07-19 05:54:00
173,Independence Transportation,2026-05-07,Inspection,9.9,2026-05-07 09:54:00
174,Independence Transportation,2026-06-18,Preventive Maintenance,13.6,2026-06-18 13:36:00
175,Independence Transportation,2026-07-07,Brake Service,0.5,2026-07-07 00:30:00
177,Independence Transportation,2026-07-25,Tire Service,0.5,2026-07-25 00:30:00
178,Independence Transportation,2026-06-06,Preventive Maintenance,22.3,2026-06-06 22:18:00
180,Independence Transportation,2026-05-26,Inspection,17.9,2026-05-26 17:54:00
182,Independence Transportation,2026-06-23,Preventive Maintenance,0.5,2026-06-23 00:30:00
184,Independence Transportation,2026-06-08,Inspection,0.5,2026-06-08 00:30:00
185,Independence Transportation,2026-08-21,Inspection,19.8,2026-08-21 19:48:00
186,Independence Transportation,2026-07-29,Tire Service,27.0,2026-07-30 03:00:00
188,Independence Transportation,2026-07-30,Preventive Maintenance,3.8,2026-07-30 03:48:00
191,Independence Transportation,2026-09-09,Brake Service,37.9,2026-09-10 13:54:00
192,Independence Transportation,2026-07-17,Preventive Maintenance,9.2,2026-07-17 09:12:00
194,Independence Transportation,2026-07-10,Inspection,0.5,2026-07-10 00:30:00
195,Independence Transportation,2026-07-20,Brake Service,0.5,2026-07-20 00:30:00
196,Independence Transportation,2026-06-03,Preventive Maintenance,0.5,2026-06-03 00:30:00
197,Independence Transportation,2026-05-23,Preventive Maintenance,4.6,2026-05-23 04:36:00
198,Independence Transportation,2026-07-03,Inspection,0.5,2026-07-03 00:30:00
