trip_id,trip_date,contractor_id,contractor_name,trip_status,scheduled_pickup,actual_pickup,pickup_delay_minutes,valid_pickup,on_time_flag,late_flag,early_flag,cancelled_flag,completed_flag,passenger_count,distance_miles,missing_actual_pickup,missing_actual_dropoff,missing_driver,missing_vehicle
18,2026-08-01,4,MetroLink Operations,Completed,2026-08-01 12:50:00,2026-08-01 13:19:00,29,1,0,1,0,0,1,17,34.9,0,0,0,0
19,2026-09-01,3,Delaware Valley Transport,Completed,2026-09-01 20:15:00,2026-09-01 20:12:00,-3,1,1,0,0,0,1,24,11.7,0,0,0,0
20,2026-07-23,7,Independence Transportation,Completed,2026-07-23 15:50:00,2026-07-23 16:01:00,11,1,1,0,0,0,1,28,6.4,0,0,0,0
21,2026-06-02,4,MetroLink Operations,Completed,2026-06-02 18:15:00,2026-06-02 18:33:00,18,1,0,1,0,0,1,45,37.6,0,0,0,0
22,2026-08-09,4,MetroLink Operations,No Show,2026-08-09 07:20:00,,,0,,,,0,0,45,37.0,1,1,0,0
23,2026-06-22,4,MetroLink Operations,Completed,2026-06-22 05:00:00,2026-06-22 05:14:00,14,1,1,0,0,0,1,11,9.2,0,0,0,0
24,2026-08-18,1,Liberty Transit Services,Completed,2026-08-18 12:50:00,2026-08-18 13:10:00,20,1,0,1,0,0,1,28,39.8,0,0,0,0
25,2026-07-09,5,CityRide Partners,Completed,2026-07-09 13:50:00,2026-07-09 13:49:00,-1,1,1,0,0,0,1,18,3.4,0,0,0,0
26,2026-08-24,7,Independence Transportation,Completed,2026-08-24 13:00:00,2026-08-24 13:10:00,10,1,1,0,0,0,1,16,29.3,0,0,0,0
27,2026-08-24,6,Regional Access Transit,Completed,2026-08-24 08:00:00,2026-08-24 07:59:00,-1,1,1,0,0,0,1,12,7.7,0,0,0,0
28,2026-07-17,5,CityRide Partners,Completed,2026-07-17 21:30:00,2026-07-17 22:03:00,33,1,0,1,0,0,1,43,31.1,0,0,0,0
29,2026-08-11,4,MetroLink Operations,Completed,2026-08-11 07:45:00,2026-08-11 08:15:00,30,1,0,1,0,0,1,23,6.8,0,0,0,0
30,2026-07-31,2,Keystone Mobility,Completed,2026-07-31 15:20:00,2026-07-31 15:31:00,11,1,1,0,0,0,1,34,7.9,0,0,0,0
31,2026-07-18,4,MetroLink Operations,Completed,2026-07-18 18:15:00,2026-07-18 18:24:00,9,1,1,0,0,0,1,15,36.3,0,0,0,0
32,2026-08-27,1,Liberty Transit Services,Completed,2026-08-27 16:00:00,2026-08-27 15:46:00,-14,1,0,0,1,0,1,8,33.6,0,0,0,0
33,2026-06-09,2,Keystone Mobility,Completed,2026-06-09 11:20:00,2026-06-09 11:02:00,-18,1,0,0,1,0,1,7,28.6,0,0,0,0
34,2026-06-17,1,Liberty Transit Services,Completed,2026-06-17 16:20:00,2026-06-17 16:07:00,-13,1,0,0,1,0,1,37,6.8,0,0,0,0
35,2026-06-29,5,CityRide Partners,Completed,2026-06-29 21:30:00,2026-06-29 21:34:00,4,1,1,0,0,0,1,28,5.4,0,0,0,0
36,2026-07-12,1,Liberty Transit Services,Completed,2026-07-12 07:15:00,2026-07-12 07:19:00,4,1,1,0,0,0,1,41,28.2,0,0,0,0
37,2026-08-10,7,Independence Transportation,Completed,2026-08-10 18:50:00,2026-08-10 19:13:00,23,1,0,1,0,0,1,9,29.6,0,0,0,0
38,2026-06-09,4,MetroLink Operations,Completed,2026-06-09 07:10:00,2026-06-09 07:07:00,-3,1,1,0,0,0,1,48,19.2,0,0,0,0
39,2026-06-07,6,Regional Access Transit,Completed,2026-06-07 14:40:00,2026-06-07 14:44:00,4,1,1,0,0,0,1,7,32.6,0,0,0,0
40,2026-06-29,5,CityRide Partners,Completed,2026-06-29 05:30:00,2026-06-29 05:50:00,20,1,0,1,0,0,1,1,6.1,0,0,0,0
41,2026-06-28,5,CityRide Partners,Completed,2026-06-28 18:50:00,2026-06-28 19:13:00,23,1,0,1,0,0,1,48,26.9,0,0,0,0
42,2026-06-11,6,Regional Access Transit,Completed,2026-06-11 19:45:00,2026-06-11 19:49:00,4,1,1,0,0,0,1,14,18.1,0,0,0,0
43,2026-06-08,5,CityRide Partners,Completed,2026-06-08 11:30:00,2026-06-08 11:43:00,13,1,1,0,0,0,1,45,11.6,0,0,0,1
44,2026-08-25,5,CityRide Partners,Completed,2026-08-25 07:45:00,2026-08-25 07:35:00,-10,1,0,0,1,0,1,20,9.3,0,0,0,0
45,2026-07-29,5,CityRide Partners,Completed,2026-07-29 07:45:00,2026-07-29 07:44:00,-1,1,1,0,0,0,1,10,5.5,0,0,0,0
46,2026-06-15,6,Regional Access Transit,Completed,2026-06-15 21:20:00,2026-06-15 21:31:00,11,1,1,0,0,0,1,31,20.8,0,0,0,0
47,2026-08-14,5,CityRide Partners,Completed,2026-08-14 15:40:00,2026-08-14 15:55:00,15,1,1,0,0,0,1,29,20.4,0,0,0,0
48,2026-07-18,1,Liberty Transit Services,Completed,2026-07-18 07:10:00,2026-07-18 07:11:00,1,1,1,0,0,0,1,28,6.6,0,0,0,0
49,2026-07-14,7,Independence Transportation,Completed,2026-07-14 21:15:00,2026-07-14 21:14:00,-1,1,1,0,0,0,1,26,33.1,0,0,0,0
50,2026-08-16,6,Regional Access Transit,Completed,2026-08-16 15:10:00,2026-08-16 15:35:00,25,1,0,1,0,0,1,9,38.7,0,0,0,0
51,2026-08-23,3,Delaware Valley Transport,Completed,2026-08-23 09:10:00,2026-08-23 09:14:00,4,1,1,0,0,0,1,32,16.8,0,0,0,0
52,2026-07-10,3,Delaware Valley Transport,Completed,2026-07-10 11:40:00,2026-07-10 12:06:00,26,1,0,1,0,0,1,39,7.7,0,0,0,0
53,2026-06-20,4,MetroLink Operations,Completed,2026-06-20 10:15:00,2026-06-20 10:36:00,21,1,0,1,0,0,1,30,38.2,0,0,0,0
54,2026-07-18,2,Keystone Mobility,Completed,2026-07-18 19:30:00,2026-07-18 19:44:00,14,1,1,0,0,0,1,6,30.6,0,0,0,0
55,2026-06-16,5,CityRide Partners,Completed,2026-06-16 07:15:00,2026-06-16 07:31:00,16,1,0,1,0,0,1,1,18.9,0,0,0,0
56,2026-08-04,4,MetroLink Operations,Completed,2026-08-04 12:45:00,2026-08-04 12:39:00,-6,1,0,0,1,0,1,30,30.0,0,0,0,0
57,2026-08-30,2,Keystone Mobility,Completed,2026-08-30 19:00:00,2026-08-30 18:49:00,-11,1,0,0,1,0,1,15,14.4,0,0,0,0
58,2026-07-01,1,Liberty Transit Services,Completed,2026-07-01 19:10:00,2026-07-01 19:16:00,6,1,1,0,0,0,1,26,9.9,0,0,0,0
59,2026-06-11,6,Regional Access Transit,Completed,2026-06-11 16:10:00,2026-06-11 16:07:00,-3,1,1,0,0,0,1,1,16.6,0,0,0,0
60,2026-07-15,1,Liberty Transit Services,Completed,2026-07-15 08:40:00,2026-07-15 08:51:00,11,1,1,0,0,0,1,4,30.8,0,0,0,0
61,2026-06-05,4,MetroLink Operations,Cancelled,2026-06-05 11:00:00,,,0,,,,1,0,34,21.2,1,1,0,0
62,2026-08-22,1,Liberty Transit Services,Completed,2026-08-22 14:40:00,2026-08-22 14:34:00,-6,1,0,0,1,0,1,24,15.9,0,0,0,0
63,2026-08-03,2,Keystone Mobility,Completed,2026-08-03 16:30:00,2026-08-03 16:27:00,-3,1,1,0,0,0,1,28,26.3,0,0,0,0
64,2026-06-22,4,MetroLink Operations,Completed,2026-06-22 16:50:00,2026-06-22 16:55:00,5,1,1,0,0,0,1,23,22.8,0,0,0,0
65,2026-08-26,6,Regional Access Transit,Completed,2026-08-26 05:15:00,2026-08-26 05:11:00,-4,1,1,0,0,0,1,23,20.0,0,0,0,0
66,2026-08-13,1,Liberty Transit Services,Completed,2026-08-13 21:40:00,2026-08-13 21:59:00,19,1,0,1,0,0,1,35,7.2,0,0,0,0
67,2026-07-04,7,Independence Transportation,Completed,2026-07-04 11:30:00,2026-07-04 11:33:00,3,1,1,0,0,0,1,35,23.9,0,0,0,0
68,2026-06-21,3,Delaware Valley Transport,No Show,2026-06-21 16:20:00,,,0,,,,0,0,35,25.1,1,1,0,0
69,2026-08-10,4,MetroLink Operations,Completed,2026-08-10 07:10:00,2026-08-10 07:20:00,10,1,1,0,0,0,1,4,20.3,0,0,0,0
70,2026-08-06,6,Regional Access Transit,Completed,2026-08-06 09:15:00,2026-08-06 09:39:00,24,1,0,1,0,0,1,18,35.9,0,0,0,0
71,2026-06-26,3,Delaware Valley Transport,Completed,2026-06-26 09:30:00,2026-06-26 10:04:00,34,1,0,1,0,0,1,1,5.7,0,0,0,0
72,2026-08-13,6,Regional Access Transit,Completed,2026-08-13 11:45:00,2026-08-13 11:54:00,9,1,1,0,0,0,1,3,8.7,0,0,0,0
73,2026-08-01,4,MetroLink Operations,Completed,2026-08-01 11:40:00,2026-08-01 12:12:00,32,1,0,1,0,0,1,15,20.9,0,0,0,0
74,2026-07-28,3,Delaware Valley Transport,Completed,2026-07-28 09:10:00,2026-07-28 09:24:00,14,1,1,0,0,0,1,32,20.9,0,0,0,0
75,2026-08-03,3,Delaware Valley Transport,Completed,2026-08-03 07:45:00,2026-08-03 08:03:00,18,1,0,1,0,0,1,41,29.1,0,0,0,0
76,2026-08-08,3,Delaware Valley Transport,Cancelled,2026-08-08 08:45:00,,,0,,,,1,0,36,24.7,1,1,0,0
77,2026-08-10,3,Delaware Valley Transport,Completed,2026-08-10 07:45:00,2026-08-10 07:48:00,3,1,1,0,0,0,1,21,24.5,0,0,0,0
78,2026-06-19,3,Delaware Valley Transport,Completed,2026-06-19 21:45:00,2026-06-19 21:49:00,4,1,1,0,0,0,1,32,8.0,0,0,0,0
79,2026-07-11,5,CityRide Partners,Completed,2026-07-11 17:30:00,2026-07-11 17:43:00,13,1,1,0,0,0,1,46,36.9,0,0,0,0
80,2026-06-04,6,Regional Access Transit,Completed,2026-06-04 13:20:00,2026-06-04 13:17:00,-3,1,1,0,0,0,1,12,3.2,0,0,0,0
81,2026-07-24,3,Delaware Valley Transport,Completed,2026-07-24 18:20:00,2026-07-24 18:35:00,15,1,1,0,0,0,1,30,23.3,0,0,0,0
82,2026-06-23,3,Delaware Valley Transport,Completed,2026-06-23 15:40:00,2026-06-23 15:51:00,11,1,1,0,0,0,1,44,30.3,0,0,0,0
83,2026-08-01,3,Delaware Valley Transport,Completed,2026-08-01 13:30:00,2026-08-01 13:25:00,-5,1,1,0,0,0,1,45,5.6,0,0,0,0
84,2026-08-23,4,MetroLink Operations,Completed,2026-08-23 20:20:00,2026-08-23 20:47:00,27,1,0,1,0,0,1,33,11.4,0,0,0,0
85,2026-06-07,2,Keystone Mobility,Completed,2026-06-07 18:40:00,2026-06-07 18:58:00,18,1,0,1,0,0,1,18,15.2,0,0,0,0
86,2026-06-08,6,Regional Access Transit,Completed,2026-06-08 12:00:00,2026-06-08 12:24:00,24,1,0,1,0,0,1,18,37.1,0,0,0,0
87,2026-07-09,1,Liberty Transit Services,No Show,2026-07-09 15:30:00,,,0,,,,0,0,32,21.0,1,1,0,0
88,2026-06-15,2,Keystone Mobility,Completed,2026-06-15 10:50:00,2026-06-15 10:58:00,8,1,1,0,0,0,1,5,18.3,0,0,0,0
89,2026-06-24,1,Liberty Transit Services,Completed,2026-06-24 20:40:00,2026-06-24 20:40:00,0,1,1,0,0,0,1,0,12.8,0,0,0,0
90,2026-08-28,3,Delaware Valley Transport,Completed,2026-08-28 06:10:00,2026-08-28 06:30:00,20,1,0,1,0,0,1,9,20.5,0,0,0,0
91,2026-07-18,5,CityRide Partners,Completed,2026-07-18 20:20:00,2026-07-18 20:23:00,3,1,1,0,0,0,1,3,35.2,0,0,0,0
92,2026-06-26,5,CityRide Partners,Completed,2026-06-26 09:15:00,2026-06-26 08:57:00,-18,1,0,0,1,0,1,32,18.9,0,0,0,0
93,2026-06-08,5,CityRide Partners,Completed,2026-06-08 14:00:00,2026-06-08 14:10:00,10,1,1,0,0,0,1,3,39.4,0,0,0,0
94,2026-07-31,1,Liberty Transit Services,Completed,2026-07-31 14:45:00,2026-07-31 15:12:00,27,1,0,1,0,0,1,34,7.8,0,0,0,0
95,2026-07-15,7,Independence Transportation,Completed,2026-07-15 10:45:00,2026-07-15 10:32:00,-13,1,0,0,1,0,1,34,17.5,0,0,0,0
96,2026-07-02,2,Keystone Mobility,Completed,2026-07-02 16:15:00,2026-07-02 16:26:00,11,1,1,0,0,0,1,38,3.8,0,0,0,0
97,2026-08-26,5,CityRide Partners,Completed,2026-08-26 12:00:00,2026-08-26 11:42:00,-18,1,0,0,1,0,1,46,25.3,0,0,0,0
98,2026-08-16,5,CityRide Partners,No Show,2026-08-16 12:30:00,,,0,,,,0,0,35,40.0,1,1,0,0
99,2026-06-23,6,Regional Access Transit,Cancelled,2026-06-23 20:00:00,,,0,,,,1,0,19,17.4,1,1,0,0
100,2026-08-08,7,Independence Transportation,Completed,2026-08-08 12:20:00,2026-08-08 12:44:00,24,1,0,1,0,0,1,21,28.0,0,0,0,0
101,2026-07-18,4,MetroLink Operations,Completed,2026-07-18 11:00:00,2026-07-18 11:05:00,5,1,1,0,0,0,1,21,14.5,0,0,0,0
102,2026-06-28,1,Liberty Transit Services,Completed,2026-06-28 08:50:00,2026-06-28 09:00:00,10,1,1,0,0,0,1,23,22.8,0,0,0,0
103,2026-07-30,4,MetroLink Operations,Completed,2026-07-30 20:40:00,,,0,,,,0,1,37,25.4,1,0,0,0
104,2026-07-08,4,MetroLink Operations,Completed,2026-07-08 11:40:00,2026-07-08 11:36:00,-4,1,1,0,0,0,1,31,20.7,0,0,0,0
105,2026-07-16,6,Regional Access Transit,Cancelled,2026-07-16 09:50:00,,,0,,,,1,0,4,39.8,1,1,0,0
106,2026-06-07,6,Regional Access Transit,Completed,2026-06-07 18:15:00,2026-06-07 18:42:00,27,1,0,1,0,0,1,39,38.6,0,0,0,0
107,2026-08-02,6,Regional Access Transit,Completed,2026-08-02 05:45:00,2026-08-02 05:42:00,-3,1,1,0,0,0,1,9,12.0,0,0,1,0
108,2026-08-07,5,CityRide Partners,Completed,2026-08-07 16:30:00,2026-08-07 16:17:00,-13,1,0,0,1,0,1,5,28.3,0,0,0,0
109,2026-08-23,7,Independence Transportation,Completed,2026-08-23 07:45:00,2026-08-23 08:15:00,30,1,0,1,0,0,1,6,37.8,0,0,0,0
110,2026-06-30,1,Liberty Transit Services,Cancelled,2026-06-30 20:30:00,,,0,,,,1,0,1,40.5,1,1,0,0
111,2026-06-19,5,CityRide Partners,Completed,2026-06-19 07:30:00,2026-06-19 07:50:00,20,1,0,1,0,0,1,44,31.1,0,0,0,0
112,2026-09-04,5,CityRide Partners,Completed,2026-09-04 06:10:00,2026-09-04 05:52:00,-18,1,0,0,1,0,1,28,21.9,0,0,0,0
113,2026-08-10,3,Delaware Valley Transport,Completed,2026-08-10 18:15:00,2026-08-10 18:04:00,-11,1,0,0,1,0,1,40,8.6,0,0,0,0
114,2026-07-11,4,MetroLink Operations,Cancelled,2026-07-11 08:10:00,,,0,,,,1,0,5,9.9,1,1,0,0
115,2026-08-11,4,MetroLink Operations,Completed,2026-08-11 18:10:00,2026-08-11 18:19:00,9,1,1,0,0,0,1,35,38.3,0,0,0,0
116,2026-08-13,2,Keystone Mobility,Completed,2026-08-13 10:45:00,2026-08-13 10:51:00,6,1,1,0,0,0,1,4,16.8,0,0,0,0
117,2026-09-01,2,Keystone Mobility,Completed,2026-09-01 11:50:00,2026-09-01 12:02:00,12,1,1,0,0,0,1,41,41.0,0,0,0,0
118,2026-07-09,2,Keystone Mobility,Completed,2026-07-09 11:50:00,2026-07-09 11:47:00,-3,1,1,0,0,0,1,20,17.4,0,0,0,0
119,2026-07-21,7,Independence Transportation,No Show,2026-07-21 08:20:00,,,0,,,,0,0,45,10.8,1,1,0,0
120,2026-07-08,7,Independence Transportation,Completed,2026-07-08 18:50:00,2026-07-08 18:59:00,9,1,1,0,0,0,1,44,19.0,0,0,0,0
121,2026-07-17,1,Liberty Transit Services,Completed,2026-07-17 07:10:00,2026-07-17 07:13:00,3,1,1,0,0,0,1,27,6.7,0,0,0,0
122,2026-07-04,1,Liberty Transit Services,Completed,2026-07-04 21:20:00,2026-07-04 21:39:00,19,1,0,1,0,0,1,9,16.3,0,0,0,0
123,2026-07-29,3,Delaware Valley Transport,Completed,2026-07-29 21:50:00,2026-07-29 22:06:00,16,1,0,1,0,0,1,6,29.2,0,0,0,0
124,2026-09-03,2,Keystone Mobility,Completed,2026-09-03 21:15:00,2026-09-03 21:16:00,1,1,1,0,0,0,1,12,20.3,0,0,0,0
125,2026-07-20,4,MetroLink Operations,Completed,2026-07-20 11:20:00,2026-07-20 11:33:00,13,1,1,0,0,0,1,16,29.0,0,0,0,0
126,2026-08-07,4,MetroLink Operations,Completed,2026-08-07 17:45:00,2026-08-07 17:50:00,5,1,1,0,0,0,1,15,14.6,0,0,0,0
127,2026-07-18,2,Keystone Mobility,Completed,2026-07-18 21:45:00,2026-07-18 21:42:00,-3,1,1,0,0,0,1,11,24.4,0,0,0,0
128,2026-07-07,4,MetroLink Operations,Completed,2026-07-07 10:40:00,2026-07-07 10:36:00,-4,1,1,0,0,0,1,45,35.7,0,0,0,0
129,2026-06-22,4,MetroLink Operations,Completed,2026-06-22 05:20:00,2026-06-22 05:39:00,19,1,0,1,0,0,1,7,13.1,0,0,0,0
130,2026-07-17,5,CityRide Partners,Completed,2026-07-17 06:50:00,2026-07-17 06:58:00,8,1,1,0,0,0,1,5,19.8,0,0,0,0
131,2026-07-01,1,Liberty Transit Services,Completed,2026-07-01 16:45:00,2026-07-01 17:19:00,34,1,0,1,0,0,1,20,41.2,0,0,0,0
132,2026-07-08,3,Delaware Valley Transport,No Show,2026-07-08 21:10:00,,,0,,,,0,0,8,30.2,1,1,0,0
133,2026-07-02,2,Keystone Mobility,Completed,2026-07-02 15:20:00,2026-07-02 15:49:00,29,1,0,1,0,0,1,44,39.5,0,0,0,0
134,2026-07-29,3,Delaware Valley Transport,Completed,2026-07-29 15:00:00,2026-07-29 15:19:00,19,1,0,1,0,0,1,13,22.0,0,0,0,0
135,2026-07-07,3,Delaware Valley Transport,Cancelled,2026-07-07 09:50:00,,,0,,,,1,0,29,3.1,1,1,0,0
136,2026-06-21,7,Independence Transportation,Completed,2026-06-21 19:00:00,2026-06-21 19:05:00,5,1,1,0,0,0,1,41,9.0,0,0,0,0
137,2026-08-20,4,MetroLink Operations,Completed,2026-08-20 12:45:00,2026-08-20 13:12:00,27,1,0,1,0,0,1,0,30.0,0,0,0,0
138,2026-06-16,7,Independence Transportation,Completed,2026-06-16 09:50:00,2026-06-16 09:54:00,4,1,1,0,0,0,1,4,23.5,0,0,0,0
139,2026-08-18,1,Liberty Transit Services,Completed,2026-08-18 19:40:00,2026-08-18 20:00:00,20,1,0,1,0,0,1,48,7.4,0,0,0,0
140,2026-07-20,6,Regional Access Transit,Completed,2026-07-20 18:40:00,2026-07-20 18:30:00,-10,1,0,0,1,0,1,19,10.6,0,0,0,0
141,2026-08-05,5,CityRide Partners,Completed,2026-08-05 17:30:00,2026-08-05 17:24:00,-6,1,0,0,1,0,1,23,39.4,0,0,0,0
142,2026-07-20,2,Keystone Mobility,No Show,2026-07-20 16:15:00,,,0,,,,0,0,13,4.1,1,1,0,1
143,2026-07-21,1,Liberty Transit Services,Completed,2026-07-21 14:45:00,2026-07-21 14:44:00,-1,1,1,0,0,0,1,40,32.6,0,0,0,0
144,2026-08-27,6,Regional Access Transit,Completed,2026-08-27 14:45:00,2026-08-27 14:52:00,7,1,1,0,0,0,1,47,9.4,0,0,0,0
145,2026-08-30,1,Liberty Transit Services,No Show,2026-08-30 05:15:00,,,0,,,,0,0,17,31.5,1,1,0,0
146,2026-06-04,1,Liberty Transit Services,Completed,2026-06-04 18:30:00,2026-06-04 19:02:00,32,1,0,1,0,0,1,6,37.8,0,0,0,0
147,2026-09-01,6,Regional Access Transit,Completed,2026-09-01 12:00:00,2026-09-01 12:17:00,17,1,0,1,0,0,1,2,24.3,0,0,0,0
148,2026-09-03,6,Regional Access Transit,Completed,2026-09-03 12:40:00,2026-09-03 13:02:00,22,1,0,1,0,0,1,2,40.2,0,0,0,0
149,2026-07-30,1,Liberty Transit Services,Completed,2026-07-30 14:40:00,2026-07-30 15:01:00,21,1,0,1,0,0,1,23,25.9,0,0,0,0
150,2026-06-26,4,MetroLink Operations,Cancelled,2026-06-26 12:15:00,,,0,,,,1,0,44,37.1,1,1,0,0
151,2026-06-01,3,Delaware Valley Transport,Completed,2026-06-01 14:10:00,2026-06-01 14:38:00,28,1,0,1,0,0,1,33,18.8,0,0,0,0
152,2026-07-29,3,Delaware Valley Transport,Completed,2026-07-29 08:15:00,2026-07-29 08:23:00,8,1,1,0,0,0,1,25,30.2,0,0,0,0
153,2026-07-12,6,Regional Access Transit,Completed,2026-07-12 19:30:00,2026-07-12 19:42:00,12,1,1,0,0,0,1,22,40.6,0,0,0,0
154,2026-07-28,2,Keystone Mobility,Completed,2026-07-28 19:30:00,2026-07-28 19:44:00,14,1,1,0,0,0,1,22,18.2,0,0,0,0
155,2026-08-26,1,Liberty Transit Services,No Show,2026-08-26 13:15:00,,,0,,,,0,0,8,7.3,1,1,0,0
156,2026-06-29,1,Liberty Transit Services,Completed,2026-06-29 11:45:00,2026-06-29 12:02:00,17,1,0,1,0,0,1,21,7.3,0,0,0,0
157,2026-06-07,4,MetroLink Operations,Completed,2026-06-07 18:45:00,2026-06-07 18:53:00,8,1,1,0,0,0,1,2,26.8,0,0,0,0
158,2026-07-02,5,CityRide Partners,Completed,2026-07-02 20:45:00,2026-07-02 20:38:00,-7,1,0,0,1,0,1,1,41.6,0,0,0,0
159,2026-08-31,7,Independence Transportation,Cancelled,2026-08-31 20:50:00,,,0,,,,1,0,20,26.1,1,1,0,0
160,2026-07-06,1,Liberty Transit Services,No Show,2026-07-06 20:40:00,,,0,,,,0,0,34,34.7,1,1,0,0
161,2026-06-08,6,Regional Access Transit,Completed,2026-06-08 17:40:00,2026-06-08 17:30:00,-10,1,0,0,1,0,1,36,24.8,0,0,0,0
162,2026-06-25,5,CityRide Partners,Completed,2026-06-25 14:15:00,2026-06-25 14:11:00,-4,1,1,0,0,0,1,11,38.8,0,0,0,0
163,2026-07-12,7,Independence Transportation,Completed,2026-07-12 05:15:00,2026-07-12 05:25:00,10,1,1,0,0,0,1,25,25.6,0,0,0,0
164,2026-07-09,3,Delaware Valley Transport,Completed,2026-07-09 09:15:00,2026-07-09 09:13:00,-2,1,1,0,0,0,1,11,17.4,0,0,0,0
165,2026-08-28,6,Regional Access Transit,Cancelled,2026-08-28 09:15:00,,,0,,,,1,0,36,3.8,1,1,0,0
166,2026-07-11,5,CityRide Partners,Completed,2026-07-11 08:50:00,2026-07-11 08:32:00,-18,1,0,0,1,0,1,46,37.5,0,0,0,0
167,2026-06-02,4,MetroLink Operations,Completed,2026-06-02 11:20:00,2026-06-02 11:21:00,1,1,1,0,0,0,1,34,17.3,0,0,0,0
168,2026-08-01,7,Independence Transportation,Completed,2026-08-01 10:50:00,2026-08-01 11:02:00,12,1,1,0,0,0,1,24,8.9,0,0,0,0
169,2026-08-10,1,Liberty Transit Services,Completed,2026-08-10 15:50:00,2026-08-10 16:00:00,10,1,1,0,0,0,1,16,28.6,0,0,0,0
170,2026-07-01,3,Delaware Valley Transport,Completed,2026-07-01 06:45:00,2026-07-01 07:01:00,16,1,0,1,0,0,1,38,21.5,0,0,0,1
171,2026-06-04,1,Liberty Transit Services,Completed,2026-06-04 10:30:00,2026-06-04 10:46:00,16,1,0,1,0,0,1,24,17.1,0,0,0,0
172,2026-06-06,4,MetroLink Operations,Completed,2026-06-06 19:50:00,2026-06-06 19:52:00,2,1,1,0,0,0,1,34,18.9,0,0,0,0
173,2026-08-15,7,Independence Transportation,Completed,2026-08-15 06:45:00,2026-08-15 06:49:00,4,1,1,0,0,0,1,36,29.3,0,0,0,0
174,2026-06-19,5,CityRide Partners,No Show,2026-06-19 19:15:00,,,0,,,,0,0,43,19.7,1,1,0,0
175,2026-08-20,7,Independence Transportation,Completed,2026-08-20 13:40:00,2026-08-20 14:00:00,20,1,0,1,0,0,1,44,27.1,0,0,0,0
176,2026-07-24,5,CityRide Partners,Completed,2026-07-24 18:15:00,2026-07-24 18:32:00,17,1,0,1,0,0,1,16,17.6,0,0,0,0
177,2026-08-13,4,MetroLink Operations,Completed,2026-08-13 06:15:00,2026-08-13 06:29:00,14,1,1,0,0,0,1,30,38.9,0,0,0,0
178,2026-06-03,3,Delaware Valley Transport,Completed,2026-06-03 14:30:00,2026-06-03 14:15:00,-15,1,0,0,1,0,1,5,9.9,0,0,0,0
179,2026-07-23,2,Keystone Mobility,Completed,2026-07-23 21:40:00,2026-07-23 21:57:00,17,1,0,1,0,0,1,36,3.6,0,0,0,0
